rxn:4:195017:229321	CCc1nc(-c2ccoc2Cl)cs1
rxn:4:196627:223383	CC(=O)Nc1ccc(-c2ccc(N3CCCC3=O)cc2F)cn1
rxn:4:182985:228139	COc1cc(C#N)cc(-c2ccc3c(c2)CCCS3)c1
rxn:4:205874:227970	COc1nc(N(C)C)ccc1-c1ccncc1C(C)(C)C
rxn:4:210648:223231	CNC(=O)c1ccc(-c2nccc(C34CC(C)(C3)C4)n2)cc1C
rxn:4:178863:223437	COC(=O)c1cc(Cl)c(-c2cc(C#N)[nH]c(=O)c2)cc1F
rxn:4:209719:229219	Clc1ccccc1-c1ccnc(C2CCCCC2)n1
rxn:4:211164:223275	Fc1nc(-c2ccc(-c3ncc[nH]3)nc2)cnc1Cl
rxn:4:191523:229161	COC(=O)c1nc(-c2cncnc2OC)ccc1F
rxn:4:215460:223465	N#Cc1cc(-c2ccn[nH]2)ccc1-n1ccnc1
rxn:4:191912:228407	COc1ccc(F)c(F)c1-c1c(Cl)cnc(OC)c1OC
rxn:4:217079:223435	COC(=O)c1ccc(-c2ncnc(C3CCOCC3)n2)[nH]1
rxn:4:211901:228863	COCCn1cc(-c2ccc3c(C)n[nH]c3c2)cn1
rxn:4:209272:228637	Cc1cc(-c2nccn2C2CCCC2)c(C)cc1F
rxn:4:181495:228864	CCOc1ncc(-c2cccc(C3(F)CC3(F)F)c2)cn1
rxn:4:216773:227578	COc1cc(OC)c(-c2nnc(N3CCCC3)s2)cc1Cl
rxn:4:209220:228822	Cc1ccc(Cl)c(-c2ccncc2N2CCSC2)c1F
rxn:4:216378:227239	COC(=O)Cc1ccc(-c2cnc(C#N)cn2)cc1
rxn:4:205118:223049	COc1cnc(C#N)c(-c2ccc(C(=O)NC3CC3)cc2F)c1
rxn:4:198077:224777	FC(F)(F)c1cc(-c2ccon2)cnc1C1CCCC1
rxn:4:208772:227346	CCCc1cc(F)c(-c2cn(C)c(C3CC3)n2)c(F)c1
rxn:4:202921:228567	CCC(C)c1sccc1-c1cnc(OC)c(CC#N)c1
rxn:4:195560:227379	CC(F)(F)c1ccc(-c2cccnc2N2CCCC2)nc1
rxn:4:208065:228975	N#Cc1nc(-c2cnn(C(F)(F)F)c2)ccc1F
rxn:4:191851:223197	COC(=O)c1cc(-c2ccc(CNC3CC3)cc2)cn1C
rxn:4:205125:229065	COC(=O)c1nc(-c2ccnc(C#N)c2)cnc1Cl
rxn:4:181880:222413	Cc1cc(S(N)(=O)=O)ccc1-c1cccc(C2CCC(=O)C2)c1
rxn:4:198411:223398	CNCc1ccc(-c2nc3ccc(Cl)cc3s2)cc1
rxn:4:196494:223124	CC(C)NC(=O)c1cccc(-c2cc(C3CCCO3)ccn2)c1
rxn:4:191224:227449	COC(=O)c1sncc1-c1ccc(C2CCOCC2)s1
rxn:4:182731:227557	COc1ccc(-c2ccc3c(c2)CSC3)c(OC)c1Cl
rxn:4:215654:228628	CC(C)c1c(-c2cc(C3CCC3)cs2)nnn1C1CC1
rxn:4:192340:228985	Cc1ccc(-c2cc(F)ccc2C(=O)N(C)C)c(C)c1
rxn:4:198075:223090	FC(F)(F)c1n[nH]c2ccc(-c3cscn3)cc12
rxn:4:183249:229273	COc1ncsc1-c1ccc2c(c1)C1(CCC2)OCCO1
rxn:4:198219:223282	Cc1nc(-c2cc(F)c(Cl)c3[nH]ncc23)c(C)o1
rxn:4:210154:229177	COc1ccc2cn[nH]c2c1-c1c(F)cncc1F
rxn:4:198208:227754	Cc1cc(-c2c(Cl)cccc2C(F)(F)F)ccn1
rxn:4:205205:228552	CCOc1cccc(-c2cnc(C(=O)CC)nc2)c1
rxn:4:205094:228721	COC(=O)c1ccc(-c2ccnn2C(C)(C)C)nn1
rxn:4:209089:228716	Cc1cc(-c2cccnc2N2CC(F)(F)C2)cnc1C#N
rxn:4:192717:223294	Fc1ccc(CN2CCC2)c(-c2csc(N3CCNCC3)n2)c1
rxn:4:192874:229012	Cc1cc(-c2sccc2C(C)C)ccc1C(=O)N(C)C
rxn:4:216504:223406	FC1(F)CC1n1ncc(-c2cncc3cc[nH]c23)n1
rxn:4:191959:227469	CCCc1cc(-c2cnn(C(C)(C)COC)c2)ccn1
rxn:4:214484:228681	CCN(CC)c1nccc(-c2ccnn2CC2CC2)n1
rxn:4:182586:227426	Cc1cc(C)c(-c2ccc(C3CCCO3)nc2)c(F)c1
rxn:4:196857:228779	COc1ccc(F)cc1-c1cncc(C2CCCCO2)c1
rxn:4:189057:228541	c1cc(OCC2CCC2)cc(-c2ccc3c(c2)COC3)n1
rxn:4:195518:226473	CCc1ncccc1-c1cccnc1OCCN(C)C
rxn:4:216403:225884	Cn1ncc(C#N)c1-c1ccc(C2COCCO2)c(F)c1
rxn:4:186238:228770	CCN(CC)Cc1cc(-c2cncc(C)c2OC)co1
rxn:4:211589:228797	COc1ccc(-c2cc(F)c3[nH]ncc3c2)cc1Cl
rxn:4:181067:228642	COc1ccc(-c2cc(C)c(C)cc2Cl)c(Cl)c1
rxn:4:183244:223440	CC1(C)CCc2ccc(-c3ccc(C4CC4)[nH]3)cc2C1=O
rxn:4:214482:228407	CCN(CC)c1cnnc(-c2c(OC)ccc(F)c2F)c1
rxn:4:202992:228308	CCOC(=O)c1n[nH]c(C)c1-c1cnc(OCC)nc1C
rxn:4:191536:228002	O=S(=O)(CF)c1ccc(-c2sccc2C2CCCC2)cn1
rxn:4:218299:228765	CCc1cc(F)c(-c2cc(C)c3[nH]nnc3c2)cn1
rxn:4:215660:223168	CCN(C)c1ncc(-c2cccnc2N2CCNCC2)c(C)n1
rxn:4:194942:226588	N#Cc1ccc(Cl)c(-c2cc(OC3CCC3)ncc2F)c1
rxn:4:198501:226612	c1cc(-c2cnc(N3CCCCC3)nc2)c2c(n1)OCC2
rxn:4:182572:222804	Cc1ccc(C)c(-c2ccc(NC3CCS(=O)(=O)CC3)cc2)c1
rxn:4:205080:229102	COC(=O)c1cnc(-c2ccn(C)c(=O)c2)cn1
rxn:4:218125:229029	Cc1cc(-c2nc3cn[nH]c3cc2Cl)ccc1F
rxn:4:212115:229064	Cc1n[nH]c2cc(-c3ccnn3C3CC3)c(F)cc12
rxn:4:205399:227582	CCOc1c(-c2cnc(OC(C)C)nc2)ccc(F)c1F
rxn:4:182743:227376	Fc1cc2c(cc1-c1cncc(N3CCCC3)c1)CCO2
rxn:4:178851:228785	COC(=O)c1ccc(-c2ccc(Cl)cc2OC)cc1F
rxn:4:188299:227963	Cc1ccc(-c2ccnc(C(C)(C)C)c2)c(OCC#N)c1
rxn:4:192165:227655	CN(C)c1cc(-c2cncc(CC3CC3)c2)cc(F)c1F
rxn:4:179039:228319	COc1nccc(-c2ccc(C)cc2OC(F)F)c1OC
rxn:4:211479:229116	Cc1nccc(-c2ccc3[nH]cc(Cl)c3n2)c1Cl
rxn:4:216436:226411	Cc1cnc(-c2ccc(N3CCOCC3)cc2)c(C#N)n1
rxn:4:205209:227898	COC(=O)c1nn(C)cc1-c1cncc(CC(C)C)c1
rxn:4:182252:229030	COc1cc(-c2cc(F)ccc2C)cc2c1OCCC2=O
rxn:4:203454:229041	Cc1cccc(F)c1-c1nc(OC(C)C)cc(C2CC2)n1
rxn:4:208741:227663	Cc1ccc(-c2cnn(C)c2C2CC2)cc1C(F)(F)F
rxn:4:199020:227962	Cc1cc(-c2cccc3c2C(=O)N(C)C3)cc(C2CC2)n1
rxn:4:209211:228035	Cc1n[nH]c(C(C)C)c1-c1cn(C)c2ncccc12
rxn:4:196889:228130	Cc1cc(-c2ccc(CC#N)cc2F)cc(C)c1N(C)C
rxn:4:218362:228567	CCC(C)c1sccc1-c1n[nH]c2c(C)cncc12
rxn:4:211437:228595	CCc1ncc(C)cc1-c1n[nH]c2ccc(Cl)cc12
rxn:4:217247:223455	N#Cc1cnc2[nH]cc(-c3cnccn3)c2c1
rxn:4:216610:223126	CN(C)c1ncnc(Cl)c1-c1cccc(NC(=O)C2CC2)c1
rxn:4:203007:229157	CCOC(=O)c1cn(C)c(-c2ccnc(C#N)n2)n1
