rxn:2:114864:136479	Cc1conc1NC1CCSC(C)C1
rxn:2:83611:133222	CCn1nccc1C(C)NCc1n[nH]c(=O)n1C1CC1
rxn:2:129618:132791	CCC1COCCC1NCc1cn(C(C)(C)C)nc1C1CC1
rxn:2:91065:65819	CCn1ccc(CCNC2CCC(CC)(CC)CC2)n1
rxn:2:66451:90537	Cc1ccnc2cc(NC3CCCCC3C3CC3)ccc12
rxn:2:68268:104794	CCc1cc(CNC(C)c2cn[nH]c2)n(C2CCSC2)n1
rxn:2:68466:92418	CCC(C)(CNC1CCCc2snnc21)N1CCCC(C)C1
rxn:2:101288:111788	Cn1ncc2c1CCCC2NCc1cc(CC(C)(C)C)ncn1
rxn:2:100370:78199	CCC(Cc1cccc(C)c1)N[C@@H]1CCCN(C2CC2)C1
rxn:2:137025:105846	CCOc1cc([C@@H](C)NC2CC3CC2(C)C3)ccc1OC
rxn:2:74108:135830	CC(C)c1ocnc1CNC1CCc2c1sc1c2CCCC1
rxn:2:105216:144324	Cc1cn(C)c2cc(C(C)NCC3CC4CCCN4C3)cnc12
rxn:2:134056:68463	Cc1cccc(C(CC(C)C)N[C@@H](C)c2nccs2)c1
rxn:2:67121:86205	Cc1cccc(C2(N3CCC(Nc4cncnn4)CC3)CC2)c1
rxn:2:89409:127878	CCn1nc2c(c1NC1CCOc3cc(OC)ccc31)CCC2
rxn:2:79585:133545	COC1COCCC1NC(C)c1ccccc1CC(C)(C)C
rxn:2:100901:133854	CCC(C)n1ncc(S(C)(=O)=O)c1NC1CCOC(C)(C)C1
rxn:2:70365:93885	C=C=CC(NCc1cn2cnc(CC)cc2n1)C(C)(C)C
rxn:2:85566:89795	c1cc2cnn([C@@H]3CCCCO3)c2cc1NCC1COCCO1
rxn:2:121383:101467	Cc1cc(C)c2c(c1)OCCC2NC1CCCC1n1ccnc1
rxn:2:77201:112102	Cc1cnc(CNC(C)CCc2ncc(C(C)C)[nH]2)o1
rxn:2:78793:95116	Cc1ccccc1[C@@H]1C[C@H]1NC1CCCCC12CCCCO2
rxn:2:149015:68678	c1cc2nc(C3CCSCC3)cc(NC3C[C@@H]4COC[C@H]34)n2n1
rxn:2:67305:133085	CCC[C@@H]1CCCC1NCC(C)(C)CC1CC1
rxn:2:88196:80724	COC1CCCC1NCc1ccccc1N1CCCCCC1
rxn:2:121937:102483	CC(C)CCc1nc(NC2CCOC3(CCCC3C)C2)no1
rxn:2:99342:119233	CCc1ccc([C@@H](CC(C)C)NC2C[C@H]3COC[C@@H]23)cc1
rxn:2:92999:83373	CCC(NC1CCc2nccn2C1)c1cccc(SC)c1
rxn:2:97847:78433	CC1OCCN(C)C1CNC1CCC(C)(N2CCC2)CC1
rxn:2:79635:67250	CC(N[C@@H]1C[C@H](C)CC[C@H]1C(C)C)c1ccc2cn[nH]c2n1
rxn:2:89944:116616	O=c1[nH]c(CNC2CCOCC23CCC3)nc2cnccc12
rxn:2:125628:134635	CCC(NC1CCCc2n[nH]cc21)c1ccc2c(c1)CCC2
rxn:2:108028:115333	Cc1oc2c(c1C)C(Nc1cnn([C@@H]3CCOC3)c1C)CCC2
rxn:2:143604:106214	CC(C)C1CC(Nc2ccccc2-c2ccc(=O)n(C)n2)CS1
rxn:2:108580:112500	COc1cccc2c1C(NC1CCc3c1cccc3N(C)C)C2
rxn:2:83984:139934	Cc1noc(C2OCCC2NCC2CCc3ccccc3O2)n1
rxn:2:84329:78697	CC(Nc1cc(C2CC2C)no1)c1ccc(C(C)(C)C)nc1
rxn:2:133616:87470	CCc1cccc(C(N[C@H]2C[C@@H]3O[C@H]2[C@H]2C[C@H]23)C2CCC2)c1
rxn:2:136427:141920	CC(CNC1CCCN(c2cc[nH]c(=O)c2)C1)N1CCC1
rxn:2:140120:75685	Cc1cccc([C@H](CCC(C)C)NC2CC(C)C2)c1
rxn:2:131978:104467	CC(N[C@H]1CC12CCCCC2)c1csc2ccccc12
rxn:2:87295:164255	Cc1cccc(=O)n1CC(NC[C@@H]1C[C@H]1C)c1ccn(C)c1
rxn:2:77311:133590	CC(C)C1CCc2ccccc2C1N[C@@H]1C[C@H]1c1ccn(C)n1
rxn:2:108388:107138	c1cc2n(n1)C1(CCC1)CC2NC1CCC(N2CCCCC2)C1
rxn:2:140760:119249	c1cn(CCCn2ccc(NC3CCC4(CC4)OC3)n2)cn1
rxn:2:127377:82070	CC1(C)CC(NCc2ccn(C(C)(C)C)c2)c2cccnc2O1
rxn:2:115739:105131	CN(C)c1ccc(NC2CCC3(CC3)C2)c(-c2cnn(C)c2)c1
rxn:2:140478:109324	CC(C)c1ncc(CCNC2CC3(CCC(C)(C)C3)C2)s1
rxn:2:107917:104766	CCc1cc(C)cc(C(CC)NC2CCCC2N(C)C)c1
rxn:2:126316:78436	COc1ccc(CNC2CCC(C)(C)N(C)C2)c2ccccc12
rxn:2:99675:125762	COCCC(NC1CCC2CC1C2)c1cc(C)ccc1C
rxn:2:111270:128152	CC(C)CC(Cc1ncccn1)Nc1ncnn1C(C)(C)C
rxn:2:67704:116126	CS(=O)(=O)CC(N[C@H]1CCc2nccn2C1)c1ccncc1
rxn:2:136387:105165	COc1c(C)cc(C)cc1C(C)Nc1n[nH]c2c1CCC2C
rxn:2:116356:129453	CC(C)[C@H](C)NC1CC2CC(C1)CN(Cc1ccccc1)C2
rxn:2:137932:85949	CC(C)(CN1CC2CCCC2C1)NC1CCc2ncncc2C1
rxn:2:121902:135634	O=c1ccn(C2CCCC2NC2C[C@@H]3C[C@H]2C[C@H]3F)c(=O)[nH]1
rxn:2:83737:135605	CC(C)(C)C1CCCC1NC1CN(c2cc(C3CC3)ncn2)C1
rxn:2:97939:88482	CCC(NCC(F)CCOC(C)(C)C)c1ncc[nH]1
rxn:2:109815:78241	CCc1nc(C2CC(Nc3ccc4c(c3)CS(=O)(=O)C4)C2)no1
rxn:2:117915:137366	c1csc(C2CC(NC3CC3c3ccc(C4CC4)cc3)C2)n1
rxn:2:129492:117250	CCC(NC1(c2nnc(C)[nH]2)CC1)c1cn(C)nc1OC
rxn:2:89131:140137	CC1CCCCC1C1(NC2CCC3C2COC3(C)C)CC1
rxn:2:141752:77199	COc1ccc2c(c1)CCC2Nc1cc(CC(C)(C)C)nn1C
rxn:2:74883:127877	Cn1cc2c(n1)CCCCC2NC1CCC2CC1C2(C)C
rxn:2:79316:72920	Cc1cccc(-n2ccc(NC3CCCC[C@H]3CN(C)C)n2)n1
rxn:2:71263:149522	CCCc1nc2ncc(C(C)NC3CC4CCC3C4)c(C)n2n1
rxn:2:83213:67518	c1ccc(N2CCC(NC3CCOC4(CCCCC4)C3)C2)cc1
rxn:2:107681:113943	FC1(F)CC1n1ccc(NC2CCCC2C2CCCCC2)n1
rxn:2:111343:75361	CO[C@@H]1[C@@H](NC(CCN(C)C)c2ccsc2)COC1(C)C
rxn:2:138428:127910	COc1ccc2c(c1)[C@H](CCNC(C)c1cccnc1)CC2
rxn:2:133402:123606	Cc1sccc1-c1cccc(NC2CCN(C)C3(CC3)C2)c1
rxn:2:118901:71859	CN(CCNC1CC(CN2CCCCC2)C1)C1CC1
rxn:2:99459:74071	CC(C)(COc1ccccc1)NC1Cc2cnoc2C2(CC2)C1
rxn:2:69438:108058	Cc1cc2n(n1)CCCC2NC12CC(N3CCN(C)CC3)(C1)C2
rxn:2:108926:118926	CCCOC1CC(NC(C)(C)C2CCSCC2)C1(C)C
rxn:2:105476:66610	CCc1cc2nccc(CNC3CCS(=O)(=O)CC3(C)C)n2n1
rxn:2:126575:74190	Cn1nc2c(c1NC1CCCC1CC1CCC1)CS(=O)(=O)CC2
rxn:2:139059:70112	CCC1COCCC1NC1CCN(c2cccc(C)c2C)CC1
rxn:2:105904:116170	Cc1ccc2c(c1)C(NCC1CC(CC(C)C)CO1)C(C)C2
rxn:2:134740:123043	CCCC(NCC1(CC)CC2CCC1O2)c1cnccn1
rxn:2:91790:68991	CCCO[C@H]1CC[C@@](C)(NC2CCOC3(CCC3)C2)CC1
rxn:2:67615:110149	CN(C)CCC(NCC1(C)CC2CCC1O2)c1cccs1
rxn:2:102705:112583	COc1csc(-c2ncc(C(C)N[C@@H](C)[C@H](C)OC)s2)c1
rxn:2:115128:126707	CC(C)CC1CC(NCCC23COCC(C2)C3)c2ccnn21
rxn:2:67342:119083	c1cc2c(s1)C(CNCC1CC3(CCOC3)CO1)CCC21CC1
rxn:2:130768:82422	CCOCC(NCC12CCC(C)(C1)OC2)c1cnn(C)c1
rxn:2:127301:119592	CC(C)c1cc(CNC2CC3(C2)CS(=N)(=O)C3)nn1C1CC1
rxn:2:98494:141942	CCc1ccccc1C(NC1CCCn2c(C)nnc21)C1CC1
